product_name,price_sale,price_original,discount_rate,category,brand,product_url,type,rating_count,crawled_at,Kích thước màn hình,Công nghệ màn hình,Camera sau,Camera trước,Chipset,Công nghệ NFC,Dung lượng RAM,Bộ nhớ trong,Pin,Thẻ SIM,Hệ điều hành,Độ phân giải màn hình,Tính năng màn hình,Loại CPU,Tương thích,Tần số quét,Kiểu màn hình,Quay video,Tính năng camera,Quay video trước,GPU,Hồng ngoại,Jack tai nghe 35,Hỗ trợ mạng,GPS,Khe cắm thẻ nhớ,Công nghệ sạc,Cổng sạc,Kích thước,Trọng lượng,Chất liệu mặt lưng,Chất liệu khung viền,Hệ thống làm mát,Tiện ích khác,Công nghệ âm thanh,Cảm biến vân tay,Các loại cảm biến,Tính năng đặc biệt,Wi-Fi,Bluetooth,Thời điểm ra mắt,"Chỉ số kháng nước, bụi",Công nghệ - Tiện ích,Cảm biến,Hãng sản xuất,Chất liệu,Tiện ích,,Loại card đồ họa,Loại RAM,Số khe ram,Ổ cứng,Cổng giao tiếp,Chip AI,Chất liệu tấm nền,Khe đọc thẻ nhớ,Chất liệu vỏ trên,Chất liệu vỏ dưới,Loại đèn bàn phím,Bảo mật,Webcam,Chất liệu vỏ màn hình,Nguồn,Tính năng khác,Socket,Loại màn hình,Lenovo Tab,Micro,Thời lượng sử dụng Pin,Phương thức điều khiển,Cổng kết nối,Công suất,Thời lượng pin,Tính năng,Số thiết bị kết nối cùng lúc,Thời gian sạc,Thao tác điều khiển,Chống nước,Kết nối,Ứng dụng kết nối,Phạm vi kết nối cho phép,Dung lượng pin,Loa,Phạm vi kết nối,Tính năng sạc,Định dạng âm thanh
OPPO A18 4GB 64GB,2890000,3090000,-6%,Smartphone,OPPO,https://cellphones.com.vn/dien-thoai-oppo-a18-4gb-64gb.html,Moi,0,2025-12-27 01:30:03,6.56 inches,IPS LCD,Chính 8 MP & Phụ 2 MP,5 MP,MediaTek Helio G85 8 nhân,Không,4 GB,64 GB,"5,000mAh",2 SIM (Nano-SIM),Android 13,720 x 1612 (HD+),"Tần số quét 90 Hz
Độ sáng tối đa: 720 nits
Mặt kính cảm ứng: Kính cường lực Panda",2 nhân 2.0 GHz & 6 nhân 1.8 GHz,,90Hz,Giọt nước,"HD 720p@30fps
FullHD 1080p@30fps","Zoom kỹ thuật số
Xóa phông
Trôi nhanh thời gian (Time Lapse)
Toàn cảnh (Panorama)
Nhãn dán (AR Stickers)
Làm đẹp
HDR
Google Lens
Chụp hẹn giờ
Chuyên nghiệp (Pro)
Bộ lọc màu
Ban đêm (Night Mode)",,Mali-G52 MP2,Không,Có,4G,"QZSS
GPS
GLONASS
GALILEO
BEIDOU","MicroSD, hỗ trợ tối đa 1 TB","Sạc nhanh 10 W
Tiết kiệm pin
Siêu tiết kiệm pin",USB Type-C,163.74 x 75.03 x 8.16 mm,188 g,Thuỷ tinh hữu cơ,Nhựa,,"Đa cửa sổ (chia đôi màn hình)
Tối ưu game (Không gian trò chơi)
Mở rộng bộ nhớ RAM
DCI-P3
Chế độ trẻ em (Không gian trẻ em)
Chặn tin nhắn
Chặn cuộc gọi
Chạm 2 lần tắt/sáng màn hình",,Cảm biến vân tay cạnh bên,,"Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi","Wi-Fi 802.11 a/b/g/n/ac
Dual-band (2.4 GHz/5 GHz)",v5.3,10/2023,IP54,"Ứng dụng kép (Nhân bản ứng dụng)
Thanh bên thông minh
Cử chỉ thông minh
Cử chỉ màn hình tắt
Chế độ đơn giản (Giao diện đơn giản)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy A50s,6990000,6990000,0%,Smartphone,Samsung,https://cellphones.com.vn/samsung-galaxy-a50s.html,Moi,5,2025-12-27 01:30:21,6.4 inches,Super AMOLED,"Chính 48 MP & Phụ 8 MP, 5 MP",32 MP,Exynos 9610 8 nhân 64-bit,,4 GB,64 GB,Pin chuẩn Li-Po 4000 mAh,2 SIM (Nano-SIM),Android v9.0 (Pie),1080 x 2340 pixels (FullHD+),,4 nhân 2.3 GHz và 4 nhân 1.7 GHz,,,,"Quay phim FullHD 1080p@30fps, Quay phim 4K 2160p@30fps",,,Mali-G72 MP3,,,,"BDS, A-GPS, GLONASS","MicroSD, hỗ trợ tối đa 512 GB",,,Dài 158.5 mm - Ngang 74.5 mm - Dày 7.7 mm,169 g,,,,,,,,,"Wi-Fi 802.11 a/b/g/n/ac, Dual-band, Wi-Fi Direct, Wi-Fi hotspot","LE, A2DP, v5.0",,,,"- Bảo mật vân tay dưới màn hình
- Công nghệ nhận diện khuôn mặt
- Công nghệ Neuro Game Booster tối ưu hóa khi chơi game",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Itel RS4 8GB 256GB NFC,3290000,3290000,0%,Smartphone,Khac,https://cellphones.com.vn/dien-thoai-itel-rs4.html,Moi,19,2025-12-27 01:31:43,6.56 inches,IPS LCD,"Camera góc rộng: 50 MP, f/1.6, AF",8 MP,Mediatek Helio G99 Ultimate,Có,8 GB,256 GB,"5,000 mAh",2 Nano-SIM,Android 13,720 x 1612 (HD+),"Tần số quét 120Hz
Tỷ lệ 20:9 (mật độ ~ 269 ppi)",2x2.2 GHz Cortex-A76 & 6x2.0 GHz Cortex-A55,,120Hz,Đục lỗ (Nốt ruồi),1080p@30fps,LED flash,,Mali-G57 MC2,,Có,4G,GPS,,Sạc có dây 45W,USB Type-C,Độ dày 8.2 mm,198 g,,,,,Loa âm thanh nổi,Cảm biến vân tay cạnh bên,"Cảm biến gia tốc, Con quay hồi chuyển, Cảm biến áp kế",Bảo mật vân tay,Có,Có,04/2024,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi 14 12GB 256GB,18990000,18990000,0%,Smartphone,Xiaomi,https://cellphones.com.vn/xiaomi-14.html,Moi,18,2025-12-27 01:32:00,6.36 inches,LTPO OLED,"Camera góc rộng: 50 MP, f/1.6, 23mm, 2.4µm, PDAF, OIS
Camera chụp xa: 50 MP, f/1.9, 50mm, 1/2.88"", 0.61µm, PDAF, 2x optical zoom
Camera góc siêu rộng: 50 MP, f/1.8, 12mm, 122˚, 1/2.51"", PDAF","Camera góc rộng: 32 MP, f/ 2.2, PDAF",Qualcomm Snapdragon 8 Gen 3 (4 nm),Có,12 GB,256 GB,4610 mAh,2 SIM (Nano-SIM),Android 14,"1200 x 2670 pixels,","Tần số quét màn hình 120 Hz, Màn hình siêu thị 1,5K, 68 tỷ màu, Dolby Vision, HDR10+, 2800 nits, HDR Vivid",,,120Hz,Đục lỗ (Nốt ruồi),"8K@24fps (HDR), 4K@24/30/60fps (HDR10+, 10-bit Dolby Vision HDR, 10-bit LOG), 1080p@30/120/240/960fps, 1080p@1920fps, gyro-EIS","Ống kính Leica, đèn flash hai tông màu LED kép, HDR, toàn cảnh","4K@30fps, 1080p@30fps, gyro-EIS",Adreno 750,Có,Không,5G,"GPS (L1+L5), GLONASS (G1), BDS (B1I+B1c+B2a), GALILEO (E1+E5a), QZSS (L1+L5), NavIC (L5)",Không,"Sạc có dây 90W, PD3.0, QC4
Sạc không dây 50W
Sạc không dây đảo ngược 10W",USB Type-C,"152,8 x 71,5 x 8,2 mm",193 g,,,,,Loa âm thanh nổi,Cảm biến vân tay trong màn hình,"Cảm biến gia tốc, Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến áp kế","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi",802.11 a/b/g/n/ac/6e,v5.4,,IP68,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPPO A79 5G 8GB 256GB,5290000,5290000,0%,Smartphone,OPPO,https://cellphones.com.vn/oppo-a79.html,Moi,5,2025-12-27 01:33:28,6.72 inches,,"Camera chính: 50MP; f/1.8; FOV 77°; ống kính 5P
2MP, f/2.4; FOV 89°; ống kính 3P; hỗ trợ FF",8MP; f/2.0; FOV 80°; ống kính 4P,MediaTek Dimensity 6020 5G 8 nhân,Có,8 GB,256 GB,5000mAh,2 SIM (Nano-SIM),Android 13,1080 x 2400 pixels (FullHD+),"Tần số quét 90Hz, 391 PPI",2 nhân 2.2 GHz & 6 nhân 2.0 GHz,,90Hz,Đục lỗ (Nốt ruồi),HD 720p@30fpsFullHD 1080p@30fps,"Xóa phông
Tự động lấy nét (AF)
Trôi nhanh thời gian (Time Lapse)
Toàn cảnh (Panorama)
Siêu độ phân giải
Quét tài liệu
Quét mã QR",HD 720p@30fpsFullHD 1080p@30fps,Mali-G57 MC2,Không,Có,5G,"QZSS
GPS
GLONASS
GALILEO
BEIDOU","MicroSD, hỗ trợ tối đa 1 TB","Sạc nhanh 33W
Tiết kiệm pin
Sạc siêu nhanh SuperVOOC
Siêu tiết kiệm pin",USB Type-C,Dài 165.6 mm - Ngang 76 mm - Dày 7.99 mm (Đen) | 8.04 mm (Tím),193g,,,,"Không gian trẻ em
Khoá ứng dụng
DCI-P3
Cử chỉ màn hình tắt",Loa âm thanh nổi kép,Cảm biến vân tay cạnh bên,"Cảm biến tiệm cận, Cảm biến ánh sáng, La bàn, Con quay hồi chuyển, Cảm biến trọng lực","Hỗ trợ 5G, Bảo mật vân tay, Nhận diện khuôn mặt, Kháng nước, kháng bụi",Dual-band (2.4 GHz/5 GHz),v5.3,11/2023,IPX4,"Đa cửa sổ (chia đôi màn hình)
Tối ưu game (Không gian trò chơi)
Thu nhỏ màn hình sử dụng một tay
Thanh bên thông minh
Mở rộng bộ nhớ RAM",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Điện thoại Itel P55 Plus NFC 8GB 256GB,2990000,2990000,0%,Smartphone,Khac,https://cellphones.com.vn/dien-thoai-itel-p55-plus-8gb-256gb.html,Moi,4,2025-12-27 01:33:33,6.6 inches,,Camera góc rộng: 50 MP,8 MP,Unisoc T606,Có,8 GB,256 GB,5000mAh,,Android 13,,Tần số quét 90Hz,Octa-core Processor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Xiaomi 15 Ultra 5G 16GB 1TB,28990000,28990000,0%,Smartphone,Xiaomi,https://cellphones.com.vn/dien-thoai-xiaomi-15-ultra-1tb.html,Moi,0,2025-12-27 01:33:45,6.73 inches,AMOLED,"Camera chính Leica: 50MP, ƒ/1.63, OIS
Camera tele Leica: 50MP, ƒ/1.8, OIS
Camera siêu tele Leica: 200MP, ƒ/2.6, OIS
Camera góc siêu rộng Leica: 50MP, ƒ/2.2, 115° FOV","Camera trước: 32MP, ƒ/2.0, 90° FOV
Cảm biến OV32B
Tiêu cự 21mm",Snapdragon 8 Elite (Tiến trình sản xuất 3nm),Có,16 GB,1 TB,5410mAh,Sim kép (nano-Sim và e-Sim) - Hỗ trợ 2 e-Sim,Xiaomi HyperOS 2,3200 x 1440 pixel,"68 tỷ màu
Tần số quét 1-120Hz
Tốc độ phản hồi cảm ứng 300Hz
Độ sáng tối đa 3200 nits trong nhiều tình huống
Điều chỉnh độ sáng PWM 1920Hz/DC dimming
Original color PRO | Pro HDR | Công nghệ cảm ứng khi ướt
HDR10+, Dolby Vision","2 x Lõi Prime, tốc độ tối đa 4,32GHz
6 x Lõi hiệu suất, lên đến 3,53GHz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy S24 Ultra 12GB 512GB,23490000,23490000,0%,Smartphone,Samsung,https://cellphones.com.vn/samsung-galaxy-s24-ultra-512gb.html,Moi,8,2025-12-27 01:33:56,6.8 inches,Dynamic AMOLED 2X,"Camera chính: 200MP, Laser AF, OIS
Camera: 50MP, PDAF, OIS, zoom quang học 5x
Camera tele: 10MP
Camera góc siêu rộng: 12 MP, f/2.2, 13mm, 120˚","12 MP, f/2.2",Snapdragon 8 Gen 3,Có,12 GB,512 GB,5000mAh,SIM 1 + SIM 2 / SIM 1 + eSIM / 2 eSIM,"Android 14, One UI 6.1",1440 x 3120 pixels,"Độ sáng cao nhất 2,600 nits, 120Hz, HDR10+",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nubia Neo 3 GT 12GB 256GB,6590000,6590000,0%,Smartphone,Khac,https://cellphones.com.vn/dien-thoai-nubia-neo-3-gt-12gb-256gb.html,Moi,47,2025-12-27 01:34:05,6.8 inches,OLED,50MP + 2MP,16MP,Unisoc T9100,Có,12 GB,256 GB,6000mAh,2 Nano-SIM,Android 15,1080 x 2392 pixels,"FullHD+
Tần số 120Hz
Độ sáng cực đại 1300 nit
Gam màu DCI-P3 100%
Tỷ lệ tương phản 1000000:1
Tần số lấy mẫu cảm ứng tức thời 1200Hz",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
OPPO Find X9 12GB 256GB,22990000,22990000,0%,Smartphone,OPPO,https://cellphones.com.vn/dien-thoai-oppo-find-x9.html,Moi,3,2025-12-27 01:34:10,6.59 inches,AMOLED,50MP OIS (Chính) + 50MP OIS (Tele) + 50MP (Góc rộng) + 2MP (Mono),32MP f/2.4,Dimensity 9500 5G,Có,12 GB,256 GB,7025mAh (Typ),Dual nano-SIM hoặc 1 nano-SIM + 1 eSIM,ColorOS 16.0,1256 x 2760 pixels,"Tần số quét 120Hz, Cảm ứng 240Hz, 1.07 tỷ màu (10-bit), 100% DCI-P3, Độ sáng 1800nits",8 nhân,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy S25 FE 8GB 128GB,13890000,13890000,0%,Smartphone,Samsung,https://cellphones.com.vn/dien-thoai-samsung-galaxy-s25-fe.html,Moi,48,2025-12-27 01:34:23,6.7 inches,Dynamic AMOLED 2X,"50MP, f/1.8 góc rộng
12MP, f/2.2 góc siêu rộng
8MP, f/2.4 Tele","12MP, f/2.2",Exynos 2400,Có,8 GB,128 GB,4900 mAh,2 Nano-SIM + eSIM,"Android 16, One UI 8",1080 x 2340 pixels (FullHD+),"Độ sáng tối đa 1900 nits
Gorilla® Victus+
16 triệu màu","10 nhân (3.2 GHz, 2.9 GHz, 2.6 GHz, 1.95 GHz)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Samsung Galaxy S22 Ultra (12GB - 512GB),36990000,36990000,0%,Smartphone,Samsung,https://cellphones.com.vn/samsung-galaxy-s22-ultra-12gb-512gb.html,Moi,1,2025-12-27 01:34:29,6.8 inches,Dynamic AMOLED 2X,"108 MP, f/1.8 góc rộng
10 MP, f/4.9
10 MP, f/2.4
12 MP, f/2.2 góc siêu rộng","40 MP, f/2.2",Snapdragon 8 Gen 1 (4 nm),Có,12 GB,512 GB,5000 mAh,2 Nano SIM hoặc 1 Nano + 1 eSIM,Android 12,1440 x 3088 pixels (QHD+),"Tần số quét 120Hz
Công nghệ HDR10+, 1750 nits",1x3.00 GHz Cortex-X2 & 3x2.50 GHz Cortex-A710 & 4x1.80 GHz Cortex-A510,Bút Spen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
